@relation tweets

@attribute TweetText string
@attribute sentiment {negative,irrelevant,neutral,positive}

@data
'stupid fucking Twitter Twitterapp give me my Damn mentions NOOWWWWWW UGH DRAWLIN AS ALWAYS TMW PROMOALLDAY FOLLOWLIMITISGAY TO',negative
'Loving my new iPhoneS thanks apple for ios',positive
'Calling All IceCreamSandwich Lovers Google Samsung Like in Hong Kong A new look at whats new from Android',neutral
'OH Sales guy BestBuy Im not selling or using any apple products during my mourning period over Jobs passing hmmm',neutral
'msn quase ninguem facebook parado geral despedindo twitter geral ralando S',irrelevant
'apple u guys are gay',negative
'Microsoft Technology Summit Rusza druga edycja programu Twoja firma Twoja szansa na sukces microsoft',irrelevant
'Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps',neutral
'Dear Microsoft seize the moment focus on developing Windows phones for enterprise solutions Succeed where RIM is failing',neutral
'interface a voir en rel pour juger sinon ice cream sandwich est simplement monstrueux nexusprime google ICS',irrelevant
'DREALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW ITs it U so called sleep but every sec u got a new twitter post up btfu',neutral
'RT spacecanard Todays the Day ICS lt android google samsung',positive
'Google confirms Nexus S will get IceCreamSandwich for real this time Gingerbread devices too via engadget',neutral
'Love ios Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature apple lovemyiphone',positive
'you are so blessed apple',positive
'garbage Welcome to Twitter',neutral
'TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow AmandaDGAF',irrelevant
'google is really confusing',negative
'RT MizzSpicey Now tuned in to with deejaydenco WorldWide Twitter Facebook join me RT',neutral
'dwtalker thats some tough competition right there TechWar Google Facebook Apple Amazon',neutral
'GReader Share Five Reasons Why Google is Winning the War in Photosharing photography fotografia google',positive
'Samsung Galaxy Nexus Google Android ICS galaxynexus galaxynexus',irrelevant
'RT ajrogers Purdie Rogers tribute to SteveJobs and apple We spray painted the Macintosh Plus w',neutral
'LucindaDouglas Ja mooi he Lucinda dat doet Microsoft goed Blijk van waardering en daarmee verwachtingovertreffen',irrelevant
'Microsoft excludes tablets from its holiday advertising push',neutral
'RT twandroid Prise de photo quasi instantanne ouaaaaaaahhhhh google nexusprime',irrelevant
'Pao ah bueno jeje ta bn ps aqui fb y twitter jeje x cierto ya no me sta siguiendo vdd ahorita vi mis seguidores y no sta',irrelevant
'Microsoft turns your body into a touchscreen Microsoft',neutral
'time to change my twitter app whats the best one for my iphone Help please twitterapps twitter vs tweetcaster vs ubersoical',neutral
'Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps',neutral
'I just installed the new Twidroyd for Twitter on my Android Phone Its Free give it a try',neutral
'Microsoft lanza OmniTouch',irrelevant
'Sex Games JaylaStarr JCannonDSD sex Twitter video',irrelevant
'RT twandroid Widgets scrollables comme sur Honeycomb google nexusprime',irrelevant
'Yahoo Profit Drops Per Cent yahoo microsoft',neutral
'I think I should work for MelaleucaTheWellnessCompany Probably the best company to work for oh and Google',positive
'Hey Apple need more servers for Siri traffic Im sure Google can help you out with that',neutral
'twitter detik Mengaku Masih Baru di Kabinet Cicip Baru Siapkan Program Pekan Depan',irrelevant
'Apple I asked Siri if she swallowed she relied Lets see wtf do i do now wank over my phone',neutral
'Minority Reportesque interface developed by Microsoft Research and Carnegie Mellon University via Digg',neutral
'TwitterOFF GN',neutral
'RT RT EvelineHorbach Terug van evaluatie learning circles bij microsoft onder bezielend leiderschap van',irrelevant
'Blog Krokers Look IT Der AppleSchock im PCMarkt mit unerwartetem Potenzial fr Microsoft gt',irrelevant
'Ala tengo a twitter asi o mas abandonado',irrelevant
'RT twandroid Possibilit de taguer les personnes google nexusprime',irrelevant
'dear google samsung learn some presentation first please',negative
'Workshop med technet idag Interessant citrix Microsoft SYSIKT',irrelevant
'Early cloud Microsoft partners will be rewarded w a Cloud Accelerate badge additional internal use rights',neutral
'Stay young stay foolish But take ownership when u fck up dont complain and never give up resilience apple',neutral
'quick hands on Galaxy Nexus by Samsung google android ICS icecreamsandwich',neutral
'German Federal Trojans got a BigBrother Gov spying on its people Microsofts bitbit Windows is target',negative
'Apple Safari Reader owns the worldwide web',positive
'Sdk available now so you can develop apps for the phone and tablets right now Android Google',neutral
'RT FierceWireless Microsofts Ballmer promises Nokia Windows phones next week slams Android WP Window',neutral
'Phone LK Google Samsung Galaxy Nexus ICS',irrelevant
'Ouch crash and burn Android facial recognition in IceCreamSandwich didnt work during the presentation Google',negative
'RTzZzZzZzZzZzZzZzZzZzZ Twitter off',neutral
'RT elishiawindfohr Twitter Each second there are new tweets for a total of million per day and billion per month Rate',neutral
'Twitter Im coming home Im coming home tell the world that Im coming home lls',neutral
'rmeneghelo Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH P correo ainda te AMO',irrelevant
'csportsmn android ios pulse google galaxy fringe ajildavna nexus ics',irrelevant
'Ohemgee Be a follower twitter',neutral
'YeseniaRivero puxi losiento deverdad q toy medio alejadoo de twitter pero pronto estare al dia cuidate muxo besitos a distancia bay',irrelevant
'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of apple',negative
'Microsoft Pushing out Mango to more Windows Phones wp orange samsung lg optimus htc dell msft',neutral
'Avec OmniTouch faites de nimporte quelle surface un cran tactile Microsoft OmniTouch',irrelevant
'RT arelance Microsoft presenta un prototipo que permite utilizar la mano como interfaz Kinect in fb',irrelevant
'apple so why is the ios support for nd gen ipods discontinued It is only years old Give us an ios update please',neutral
'Hasta el queque de tarea pero heme aqui en twitter y FB jijijiji ya falta menos para terminar thanksGod',irrelevant
'IsabelSalazarJ PremiosTWCo y en el HT Twitter eres tambn cabeza con votos Isa tienes lo votos regados con HT yovotopor tienes',irrelevant
'It took apple about years just to figure out how to properly syncronize an iPhone WOW ios',negative
'Unwrapping Ice Cream Sandwich on the Galaxy Nexus google',neutral
'Texas Instruments confirms Galaxy Nexus has newer OMAP processor google googlenexus',neutral
'Followme dijo Twitter D',neutral
'Awesome Microsoft holodeck bitlyqpGxle',positive
'I really dnt like to follow people who never on twitter',neutral
'Mukesh Ambani MukeshAmbani Mukesh Ambani google youtube',irrelevant
'RT AlbertLorente En Espaa se pasa ms tiempo en sites de Microsoft que en Facebook y en sites de Google',irrelevant
'Reflex Online is nu ook beschikbaar op Microsoft Marketplace Meer hierover op ons blog',irrelevant
'Apple would do better to inform customers properly about migrating to iCloud many complaints lead to image damage',negative
'Samsung Galaxy Nexus smartphone Android Ice Cream Sandwich unveiled by Google BT',neutral
'What does it take to get a job at Google recruiting',neutral
'Reviora can host Microsoft Dynamics SL MSDYNERP',neutral
'Microsoft Cloud windowsserver RT WesleyBackelant Announcing the Microsoft WindowsAzure Wesle TCN',neutral
'I just realized that the reason I got into twitter was ios thanks apple',positive
'RT twandroid SDK dispo aujourdhui google nexusprime',irrelevant
'Android OS Ice Cream Sandwich and the Galaxy Nexus is outseems that smartphones are named by hungry developers Google',neutral
'Microsofts First Global MultiProduct Holiday Campaign',neutral
'thinking thinking thinking thinking dotnet asp microsoft',neutral
'Is Google Flight Search a threat to the OTA and travel Meta Search market in India Check News',neutral
'Comp crash Microsoft Wouldnt get this with an iMac',negative
'iTaylorSimpson u post on twitter to much like ery sec Damn',neutral
'TheMarketaire This whole Facebook change makes more nervous than excited What about privacy etc I much prefer Twitter',positive
'Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps',neutral
'Cream on the inside clean on the outside Ice Cream phone job Google',positive
'Got to do itRT ElderMLTillerJr I am cracking up at BishopWSThomas advertising for Twitter LOL',neutral
'Android Google Samsung Galaxy Nexus release details still in short supply DhilipSiva',neutral
'Bestbuy or Apple to purchase my imac iPad and printer StudentDiscounts',neutral
'Looks like Apple did not appropriately project the resources needed for Siri Not very reliable',negative
'Engadget following android galaxy nexus event google samsung ICS',neutral
'Microsoft CEO on Android You Have to Be a Computer Scientist to Use It huffington post tech mobile',neutral
'TypeBuilder be gone Roslyn CTP is here Creating types without TypeBuilder Roslyn Microsoft',irrelevant
'Microsoft Security Essential gt Microsoft',irrelevant
'Agora vou tentar dormi Game Over Twitter Facebook',irrelevant
'In case you were curious like me IPhone S Which Apple iPhone is Best for Price Features Apple HealthIT EHR',neutral
'Thanks to Samsung and Google Im now craving for some Ice Cream Sandwich IceCreamSandwich Google Samsung',positive
'Rumor New screen sizes specs coming to Windows Phones windowsphone microsoft microsoft',neutral
'Buenas noches twitter friends Me despido q me voy a poner hacer mi tarea de acct q flojera Pero no se me permite fail any classes',irrelevant
'Put your twitter on autopilot and let it gain followers for you TeamFollowBack Twitter autopilot aday',neutral
'trishaps iCloud is Cloudy apple tech not very techy',negative
'Can this ho Siri update your tweets cc apple iPhoneNews',neutral
'RT Jackiebaaby s are for twitter NOT facebook Duuuuhhh',neutral
'Just because you follow me on twitter does NOT mean we cool As you can see I didnt follow yo thirsty ass back dummy xD',neutral
'Microsoft We put the backwards into backwards compatibility instantfollowback',negative
'Check out our podacst regarding Sugars Edge In Tems Of Database Structure Microsoft CRM',neutral
'AsiaClassifiedToday Temasek to raise up to million with bond offer Straits Times Tele asia google biz',irrelevant
'SteveJobs Twitter overwhelmed by reaction to Apple founders death Telegraph',neutral
'Microsoft Cloud Microsoft launches Virtual Academy in Kenya Microsoft East and Southern Africa launched TCN',neutral
'I hate tron theme Google ICS',negative
'AsiaClassifiedToday Asia Stocks Ringgit Gain on European Outlook Bloomberg Asia Stocks R asia google biz',irrelevant
'RT MonicaaC Damn tired Need some rest Night twitter',neutral
'goodtoknow privacy google',neutral
'I wonder If the person who has apple is holding out for apple to buy it from them',neutral
'ok it is back iphone apple',neutral
'RT puntogeek Hace tiempo Segn Microsoft Firefox es spyware Firefox Microsoft',irrelevant
'seit apple facebook und google die groen bsen sind ist microsoft irgendwie wieder der sympathische nerdverein',irrelevant
'Mmm SmarterPhone RT Android Introducing Ice Cream Sandwich the delicious new version of Android ICS google',positive
'hiarly iae meu brother min siga ae no twitter ta lembrado de min n',irrelevant
'RT AppSense Simontownsend Microsoft tests and proves AppSense enterprise scalability K users on one personalization DB http',neutral
'Microsoft Changes The Yet Known Design of Windows Eight',neutral
'Grattis microsoft Jag mste allts ta bort Helvetica om jag ska kra IE ocheller Outlook',irrelevant
'Que mierda le pasa a FOTA que no me quiere traer IceCreamSandwich Google Android SamsungArg GalaxyS',irrelevant
'me re cop con twitter',irrelevant
'From its laughable file google will encrypt search results BUT only if U have logged in so they can maximize their data collection',negative
'teggyboy oh wow lmao thank no wonder why no one answered me addicted twitter',neutral
'Entre al Twitter solo para desahogarme B',irrelevant
'SOLAR RhondaParsons SOLarsister A simpLe symboL and AN underscore This is twitter WHERE WE twEEt',neutral
'deberia de ponerme a leer un libro en lugar de estar perdiendo el tiempo en fb y twitter',irrelevant
'Cest quand mme une confrence o on nattend pas h pour avoir une nouveaut google nexusprime',irrelevant
'En full capacitacin de soportes en Microsoft Advertising muy entretenida',irrelevant
'Every time I try the voice control on my iPod Touch to send an iMessage it starts playing Who Knew by Pink Still not Flawless Apple',negative
'Thank you me too Looking forward to reviewing your book WarrenWhitlock twitter authors socialmedia',neutral
'At the Microsoft imaginecup sri lanka in Peradeniya',irrelevant
'RT RoodProjecten Leuk ik ontving net een mooi boeket bloemen thuis van Microsoft als dank voor mijn bijdrage en waardevolle input',irrelevant
'RT PacktEnterprise Book Published Microsoft SharePoint Power User Cookbook spmentor',neutral
'RT microsoftfrance Cette anne encore Microsoft remporte le prix du meilleur Service Client',irrelevant
'Apple fan Eric Holder spotted at the Genius Store',neutral
'New Galaxy Nexus OS Hardware Improvements Camera Zero Shutter Lag nexus samsung google android bitlynEJbyE',positive
'Club CALUMO was FUN See the vidio CALUMO Blog Denali Microsoft SQLServer via calumo',neutral
'I hope apple will release an app for Siri for us nonapple s users apple iphone siri',neutral
'I want Siri on my iPhone apple',neutral
'rygurl you need an apple iphoneS with Siri',positive
'Possibilit de taguer les personnes google nexusprime',irrelevant
'Never purchasing another item from apple',negative
'Lucha de Titanes Las tres mejores alternativas a Google Earth Linux via gabrieljgomez',irrelevant
'Estou com tanta d do windows phone CHUPA ESSA microsoft trem lindo de deus android',irrelevant
'Job ICT Verkaufspezialist von Infrastrukturlsungen an Geschftskunden wm Microsoft Schweiz Microsoft IT',irrelevant
'If MrAJohnson is up twitter is gona have some technical difficulties',neutral
'De novo mais uma vez eu akie de madrugada falando sozinho no Twitter S',irrelevant
'RT NeowinFeed Google shows off new Ice Cream Sandwich features google android neowin',neutral
'The four American companies that have come to define stcentury on the verge of war Amazon Apple Facebook and G',neutral
'uberSocial on blackberry crackberry is better than the actual twitter site Its wack on the iphone CoolStoryBro',neutral
'estoy agradecido con Dios y con Microsoft por la oportunidad que me han dado de ser parte del grupo selecto de los msp Gracias Seor',irrelevant
'el momento en el que me puedo desahogar si efectividamente es en twitter',irrelevant
'Calling all marketing executives in houston sign up for google training I cant wait to be there for the week',positive
'Apples Siri is witchcraft Whats next googleresearch yr lead lost',positive
'how do you sync gmail contacts with your iphone help please apple gmail',neutral
'I love our apple imac even though I havent seen my hubby in days now geek',positive
'apple store NY',neutral
'Ha The demo fail is still resonating Kinda funny but on a global scale Cool feature though android google galaxynexus',neutral
'iOS update submitted to apple Thanks for all the support',positive
'RT InternetBH Microsoft finalises Skype deal IT Business News Features skype Micr',neutral
'De verdd qe si me he sentidoo rara estar un Dia sin mucho twitter B',irrelevant
'google facebook',irrelevant
'google yahoo bing Ballmer on Bing Xbox Appleoh and Yahoo too seo serps',neutral
'RT callmePinoc RT CrazyGolfer If you lose followers on Twitter dont worry even Jesus lost followers Unknown quote via smqueue',neutral
'microsoft says android is too complex Interesting from a user angle contrast windows with macos for a comparison',neutral
'Googles Nexus really i wanna it now Awesome',positive
'What Is Ice Cream Sandwich Google',neutral
'Maybe apple could use some of its billions to do some good in the worldoh wait thats what microsoft does',positive
'on hold for another half hour phone is ringing but no one is picking upapple you stink',negative
'Pondering the iOS update From the sounds of MikeFerris difficulties I may just hold off Apple FIX IT',negative
'RT SociosMicrosoft Director de Microsoft admite que fue afortunado el escape de la compra de Yahoo',irrelevant
'gotta get back on my twitter grind',neutral
'El live stream del server de IPN esta over capacity por SoytuFanmx no la caguen si no es twitter',irrelevant
'Microsoft launching the OmniTouch how funny I though that was an ALUEnterprise solution copyright via levenement',neutral
'You need to ask Siri her favorite color and the average speed of an unladen swallow Seems Someone apple is a Monty python fan',neutral
'Android Google Samsung Galaxy Nexus launching in US Europe and Asia this November DhilipSiva',neutral
'Apple erneut im Fadenkreuz Umweltverschmutzung Apple Zulieferer muss Produktion stoppen',irrelevant
'RT OKadeState Paigemorse tweeted Its official she is still alive Twitter',neutral
'Ya el twitter como que me esta dejando de parecer divertido',irrelevant
'It would have taken me mins to write this with my Blackberry Thank u Apple s for converting me and showing me the grass is greener',positive
'Windows Roadmap Windows Roadmap M final and Beta at CES O Microsoft',neutral
'Windows Phone firmware updates due next week to enable Internet Sharing microsoft windows',neutral
'Official plush Portal turrets deploying this December mac microsoft pc playstation',irrelevant
'Retweets section of my twitter account has not been working for hours Is Everyone else having this problem RT RTs',negative
'RT OliPalko RT ishpconsult Der langsame Tod von SEO Google Suche fr eingeloggte User verschlsselt',irrelevant
'Im gonna need Twitter to get all these problems fixed ASAP',negative
'Reader Tronman compares SteveBallmer to an albatross around Microsofts neck Do you agree Join the discussion',negative
'Microsoft details Search improvements in Windows Start Screen',positive
'Facebook ah quedado en el olvido gracias a Twitter',irrelevant
'Android Google Samsung Galaxy Nexus Coming Soon To Three UK DhilipSiva',neutral
'My iPhone S battery lasted longer than a day That hasnt happened since my edge iPhone Nice job apple',positive
'Wow Apple sold million iPhone S in a single weekend',neutral
'RT interfase Andy Rubin de Google devel oficialmente el Samsung GalaxyNexus el er smartphone con Android Ice Cream Sandwich h',irrelevant
'RT Leahjanell This Moment w Shyah DianiGroves is brought to you by NBA Apple Riesling oh and',irrelevant
'Google sorprende de nuevo basedenegocios business',irrelevant
'Le Galaxy Nexus officialis Samsung Google GalaxyNexus Icecream via Julbut TweeqFr Thibaudd',irrelevant
'Techno Microsoft lanza sitio oficial de Skype',irrelevant
'TheZeroOfTime microsoft',neutral
'apple AppStore ihelpline when r u going to provide the ability to password protect iPad email',neutral
'Once again getting great customer service from the apple store at millenia mall',positive
'Kan Apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter',irrelevant
'Yep its official my tweets that get RTd arent showing me when they get RTd Dammit Twitter sometimes its LoveHate thing we have',negative
'Total chaos at apple store regent street Like an Ethiopian feeding station Cant believe this is same co that makes all that cool shit',negative
'twitter is like therapy for sum people say wat you feel get alot off yo chest And dont care wat the next person say',neutral
'Microsoft opens the spigot Windows Phone Mango available to all microsoft windowsphone',neutral
'Good Night Twitter',neutral
'All the info on Ice Cream Sandwich here twandroid google nexusprime ics android',neutral
'inexus Named as One of The Telegraphs Top Free PR Site press release nexus one google',irrelevant
'Ya Me voy Adios twitter por que esta muy Fome S',irrelevant
'Use Caution When Sharing on Social Networks via LarryMagid youth facebook google',irrelevant
'Is there a way that I can post voice notes on twitter',neutral
'Follow your interests twitter',neutral
'aai galeraa do twitter abrao para queem ficaa',irrelevant
'FacebookGoogle Apps google googleapps',irrelevant
'Se que en estos momentos transmiten soy tu fan cortesa de twitter y de aNgEluSrO',irrelevant
'Twitters Thinking About Paying People to Tweet Technology PayMe Twitter',neutral
'WP is getting there Microsoft Claws Back to Smartphone Relevance Rich Jaroslovsky Bloomberg via BloombergNews',positive
'Ballmer Feels Lucky Microsoft Didnt Buy Yahoo in microsoft',neutral
'android androidar google samsung',irrelevant
'troquei meu avatar do twitter rs',irrelevant
'itiinhalais EvelynJullyanne segue de volta esse Twitter a gente ta fundando a Pastoral da Juventude e precisamos de ajuda Segue bj',irrelevant
'torbenleuschner die haben was an der Waffel ie microsoft wunschdenken',irrelevant
'yahoo microsoft Noticias Steve Ballmer da gracias al cielo porque Microsoft no compr Yahoo en',irrelevant
'Microsoft Please check out or site and join please we need more ppl maybe u can help',irrelevant
'Android This Is the Samsung Galaxy Nexus Googles New Official Android Phonevia Gizmodo The',neutral
'who follows ppl then unfollows them YourLameAsHell tryna make it seem like your somebody IMPORTANT its only TWITTER smh',neutral
'iPhone S MP camera Its a SONY sony apple apple iphoneS cameras',neutral
'Google releases the latest version of Android IceCreamSandwich',neutral
'RT Logic Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech babygeeks',positive
'SpeechTrans on Apple App store listed as the best bidirectional Speech To Speech Translator Posts on Twitter',neutral
'RT JaylaStarr Sex Games JaylaStarr JCannonDSD sex Twitter video',irrelevant
'Siri is cool but more importantly handy and FUNNY Apple please configure it for Canada Whats with the racism EH',neutral
'GN Twitterzzzzzz Z Z z z z',neutral
'Leaving for smau Ill be at the Microsoft stand as a trainer for the wpdev labs Meet me there',neutral
'RT twandroid Galaxy Nexus annonc nexusprime google',irrelevant
'Puta No se por que traje los cuadernos para estudiar a la cama si sigo en twitter OhShit TT',irrelevant
'Microsoft Stores offering a free Windows Phone with a purchase wp windowsphone wp mango msft',neutral
'Rocksmith Rocksmith Rocksmith google youtube',irrelevant
'RT MichaelKroker Krokers Look IT Der AppleSchock im PCMarkt mit unerwartetem Potenzial fr Microsoft gt',irrelevant
'Android Google Meet the Samsung Galaxy Nexus and Ice Cream Sandwich DhilipSiva',neutral
'apple must be launching a searchengine imminent surely AppleSearch AppleCore bigapple haha Please be the latter',neutral
'GArepost RT whymicrosoft Are you making the move from GoogleApps to Microsoft gtgt Metalogix can migrate y',neutral
'New Google Nexus gt',neutral
'RT DominicanDroids Cuando grandes se unen Samsung y Google Estas cosas son las que pasan GalaxyNexus',irrelevant
'Android Google First Official Galaxy Nexus Ice Cream Sandwich Promo Video With Feature Highlights DhilipSiva',neutral
'Creating Pareto charts using Microsoft Excel',neutral
'twitter why must you be so difficult',negative
'Congratulations to Softline Pastel SageGroupZA for winning ISV of the Year at Microsoft partnersummit',neutral
'Internet Explorer is the biggest pile of shit ever seriously Microsoft IE',negative
'ICS et Google une communaut votre service',irrelevant
'I love apple I love my phone but ever since this damn update my texts keep saying theyre full when there are none thats a PROBLEM',neutral
'cagimo mire la ltima foto que monte al Twitter ayude a su amigo a la coleccin D D D Indirecta',irrelevant
'RADSoftware Yes good points about ERP but unfair assessment in saying SAGE SAP and Microsoft Dynamics are not delivering',positive
'How to Create your own Google Maps google maps',neutral
'google samsung android',irrelevant
'twitter is great once you get the hang of itHaxxDubbz CBMonarch BranDay I told her to get one to be a cool kid lol',neutral
'eo tenho a mania de entrar no TWITTER i respondeeer as coisas ki mi mando kkkkkkkkkkkkk',irrelevant
'Google confirms Nexus S will get IceCreamSandwich for real this time Gingerbread devices too',neutral
'Google Google Event Vorstellung des Samsung Galaxy Nexus Caschys Blog o klingelte mein Wecker Googles',neutral
'nase el Martes de Noviembre a las am EST al evento de lanzamiento de Microsoft Dynamics AX para latinoamrica',irrelevant
'Google Cloud Service Blackouts Threaten Cloud Users During a day period in August and September for TCN',negative
'RT fdruel Une nouvelle interface haptique signe Microsoft et CanergieMellon OmniTouch Tactile et wearable cc Billaut http',irrelevant
'Apple buried the ability to manage newsstand subscriptions under App Store Settings This is inconvenient at best',neutral
'Virage Success Story Harvard Business School pdf ebook google',irrelevant
'google Finally All searches for logged in users will be on https',positive
'Lies apple the battery on this new iPhoneS is definitely not any better',negative
'Se tan arruinando mis audifonos d mi iphone apple quien me quiere regalar unos',irrelevant
'RiiickSilva A gente empolga nee com Twitter Rss',irrelevant
'Google Microsoft Apple google microsoft apple',irrelevant
'Only thing bad about the new canon camera is that it has two compact flash cards not one of SD SD goes in my apple computer Damn you',negative
'La mamachy ya tiene Twitter Sigamosla es ella DianaSanchez',irrelevant
'RT twandroid Possibilit de sauvegarder pour visionner horsligne google nexusprime',irrelevant
'RT Ashu Progress is a Process Surprised to see a sensible topic trending worldwide in twitter',neutral
'Steve Ballmer Nokia to reveal multiple Windows Phone devices next week Microsoft may make their own',neutral
'Samsung Galaxy Nexus announced full specs available samsung galaxy nexus google android ics thetechcheck',neutral
'Telegraph reports that the biggest threat to facebook is its power users have shifted to twitter or google',positive
'Installing NET framework this might take very many years Come back when your unborn child is in college microsoft',negative
'RT iancollinsuk Apple have just announced they sold million phones this weekend Incredible That recession continues to bite apple',neutral
'RT SAPWorkSmarter Tomorrow at SAPTechEd Bangalore SAP Microsoft Building Apps for Both Worlds w DuetEnterprise SAPGateway h',neutral
'jacobstanton RyanBurke doesnt take much to be cool on twitter',neutral
'The debate is am I allowed to use my BB pen at Microsoft',neutral
'Google weiterhin auf der Erfolgsspur',neutral
'thejcurt unlocking it at apple store RIP Mr Jobs',neutral
'Damn it Apple Whatchu done to my phone',negative
'If Microsoft had more interoperability between their products Xbox Windows Windows Phone Zune Id be a Windows Phone user',negative
'Progress is a Process Surprised to see a sensible topic trending worldwide in twitter',neutral
'RT MontrelCox Its twitter Get over it or go back to Facebook and unfollow me This is my free forum to say exactly what thee fuck I',neutral
'The iPhone update has segregated my contacts between iPhone users and noniPhone users They just had to call out those nonusers apple',neutral
'Dear apple why did my Apple ID change to my colleagues when I charged on her Mac Now cant download or update apps iPhone',neutral
'WHAT Google Chrome syncs with your Android devices bookmarks NICE',positive
'Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech babygeeks via Techflash',positive
'Android Google Samsungs Galaxy Nexus Its Official Its Headed For Global Availability And Its DhilipSiva',neutral
'Galaxy Nexus GalaxyNexus Android Google followme',neutral
'msleamichele NayaRivera DiannaAgron MsAmberPRiley please could u somehow convince hemo to join twitter we need her awesomeness glee',neutral
'Ready for some Ice Cream Sandwich google android',positive
'New Galaxy Nexus OS Improvements Stacks Scrolling introduced for widgets for richer content samsung google android bitlynEJbyE',positive
'Hey Apple stop sending your automaticallydepreciatealliPhonesolderthanthes signal My iPhone is dying rapidly processorwise',negative
'I hate you apple for not sending Toledooh bestbuy any iPhone for verizon even after I pre ordered',negative
'apple PLEASE FIX Siri She cant connect to your network',negative
'Wow jus made a TWITTER i reallly dnt kno how o use it so i neea alittle help',neutral
'Quien anda activo por el Twitter ahorita',irrelevant
'Ice Cream Sandwich to stop carriers bullying smartphone users google android neowin',neutral
'Que raroooo en microsoft les funciona todo menos el departamento de bajas Que casualidad Veremos maana',irrelevant
'Google Panda O est parti le de trafic perdu',irrelevant
'RT iPadPowerUsers On Google then go here GPlus Googleplus Google teamfollowback socialnetwork',neutral
'apple jilive DanielPink Apple sells million iPhone S units in first weekend Steve Jobs brilliance lives on for ever iphone RVA',positive
'apple WTF why can we not add the newsstand to a folder We are already in your walled garden so please dont remind us of it',negative
'Apple iTunes is the worst program ever For such a great phone you make some awful software',negative
'Mmmm Ice Cream Sandwich Android Google',positive
'Microsoft lanza sitio oficial de Skype desde Tegnologia',irrelevant
'twitter show my fuckin retweets bitch',negative
'FUCK facebook twitter is way better teamfollowback followme',positive
'Why do I always blow up twitter at like am sorryfollowers',neutral
'Muito rapida essa velocidade de captura de imagens da camera do Galaxy Nexus icecreamsandwich galaxynexus google samsung',irrelevant
'tryladis bienvenida a Twitter que bueno tenerte por aqu esto es genial',irrelevant
'Installed io fine on ipad but wiped wifes iPhone and restore from backup failed Bigtrouble help apple',negative
